Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
Total Nacional;Total;2024T4;2.595,5
Total Nacional;Total;2024T3;2.754,1
Total Nacional;Total;2024T2;2.755,3
Total Nacional;Total;2024T1;2.977,9
Total Nacional;Total;2023T4;2.860,8
Total Nacional;Total;2023T3;2.894,5
Total Nacional;Total;2023T2;2.808,2
Total Nacional;Total;2023T1;3.186,3
Total Nacional;Total;2022T4;3.081,6
Total Nacional;Total;2022T3;3.025,8
Total Nacional;Total;2022T2;2.994,7
Total Nacional;Total;2022T1;3.214,7
Total Nacional;Total;2021T4;3.148,7
Total Nacional;Total;2021T3;3.467,4
Total Nacional;Total;2021T2;3.586,4
Total Nacional;Total;2021T1;3.703,3
Total Nacional;Total;2020T4;3.719,8
Total Nacional;Total;2020T3;3.722,9
Total Nacional;Total;2020T2;3.368
Total Nacional;Total;2020T1;3.313
Total Nacional;Total;2019T4;3.191,9
Total Nacional;Total;2019T3;3.214,4
Total Nacional;Total;2019T2;3.230,6
Total Nacional;Total;2019T1;3.354,2
Total Nacional;Total;2018T4;3.304,3
Total Nacional;Total;2018T3;3.326
Total Nacional;Total;2018T2;3.490,1
Total Nacional;Total;2018T1;3.796,1
Total Nacional;Total;2017T4;3.766,7
Total Nacional;Total;2017T3;3.731,7
Total Nacional;Total;2017T2;3.914,3
Total Nacional;Total;2017T1;4.255
Total Nacional;Total;2016T4;4.237,8
Total Nacional;Total;2016T3;4.320,8
Total Nacional;Total;2016T2;4.574,7
Total Nacional;Total;2016T1;4.791,4
Total Nacional;Total;2015T4;4.779,5
Total Nacional;Total;2015T3;4.850,8
Total Nacional;Total;2015T2;5.149
Total Nacional;Total;2015T1;5.444,6
Total Nacional;Total;2014T4;5.457,7
Total Nacional;Total;2014T3;5.427,7
Total Nacional;Total;2014T2;5.622,9
Total Nacional;Total;2014T1;5.933,3
Total Nacional;Total;2013T4;5.935,6
Total Nacional;Total;2013T3;5.943,4
Total Nacional;Total;2013T2;6.047,3
Total Nacional;Total;2013T1;6.278,2
Total Nacional;Total;2012T4;6.021
Total Nacional;Total;2012T3;5.824,2
Total Nacional;Total;2012T2;5.731
Total Nacional;Total;2012T1;5.667,9
Total Nacional;Total;2011T4;5.287,3
Total Nacional;Total;2011T3;4.998
Total Nacional;Total;2011T2;4.844,2
Total Nacional;Total;2011T1;4.921,2
Total Nacional;Total;2010T4;4.702,2
Total Nacional;Total;2010T3;4.585,4
Total Nacional;Total;2010T2;4.655,3
Total Nacional;Total;2010T1;4.617,7
Total Nacional;Total;2009T4;4.335
Total Nacional;Total;2009T3;4.121,4
Total Nacional;Total;2009T2;4.139,6
Total Nacional;Total;2009T1;4.018,2
Total Nacional;Total;2008T4;3.206,8
Total Nacional;Total;2008T3;2.600,7
Total Nacional;Total;2008T2;2.385,7
Total Nacional;Total;2008T1;2.190,5
Total Nacional;Agricultura;2024T4;125,9
Total Nacional;Agricultura;2024T3;142,1
Total Nacional;Agricultura;2024T2;121,4
Total Nacional;Agricultura;2024T1;128,7
Total Nacional;Agricultura;2023T4;127,8
Total Nacional;Agricultura;2023T3;152,7
Total Nacional;Agricultura;2023T2;133,9
Total Nacional;Agricultura;2023T1;138,6
Total Nacional;Agricultura;2022T4;147,7
Total Nacional;Agricultura;2022T3;165,5
Total Nacional;Agricultura;2022T2;149,6
Total Nacional;Agricultura;2022T1;161,4
Total Nacional;Agricultura;2021T4;164
Total Nacional;Agricultura;2021T3;200,3
Total Nacional;Agricultura;2021T2;172,2
Total Nacional;Agricultura;2021T1;191,1
Total Nacional;Agricultura;2020T4;184,5
Total Nacional;Agricultura;2020T3;207,8
Total Nacional;Agricultura;2020T2;168,2
Total Nacional;Agricultura;2020T1;164,3
Total Nacional;Agricultura;2019T4;184
Total Nacional;Agricultura;2019T3;203,3
Total Nacional;Agricultura;2019T2;183,3
Total Nacional;Agricultura;2019T1;173,7
Total Nacional;Agricultura;2018T4;173,1
Total Nacional;Agricultura;2018T3;194,3
Total Nacional;Agricultura;2018T2;186,5
Total Nacional;Agricultura;2018T1;206,5
Total Nacional;Agricultura;2017T4;199
Total Nacional;Agricultura;2017T3;235,1
Total Nacional;Agricultura;2017T2;206
Total Nacional;Agricultura;2017T1;217,8
Total Nacional;Agricultura;2016T4;217,5
Total Nacional;Agricultura;2016T3;240,4
Total Nacional;Agricultura;2016T2;251,7
Total Nacional;Agricultura;2016T1;259,2
Total Nacional;Agricultura;2015T4;222,6
Total Nacional;Agricultura;2015T3;258,4
Total Nacional;Agricultura;2015T2;252,2
