Periodo;Total
2024M12;5.265.945
2024M11;5.665.204
2024M10;8.965.310
2024M09;9.595.136
2024M08;10.930.750
2024M07;10.851.172
2024M06;9.313.450
2024M05;9.256.446
2024M04;7.831.094
2024M03;6.347.516
2024M02;5.009.311
2024M01;4.768.171
2023M12;5.209.085
2023M11;5.135.498
2023M10;8.187.022
2023M09;8.795.425
2023M08;10.186.163
2023M07;10.116.916
2023M06;8.307.460
2023M05;8.300.384
2023M04;7.228.094
2023M03;5.247.341
2023M02;4.320.665
2023M01;4.134.995
2022M12;4.127.293
2022M11;4.334.651
2022M10;7.176.984
2022M09;7.767.211
2022M08;8.848.665
2022M07;9.091.390
2022M06;7.498.156
2022M05;6.988.353
2022M04;6.106.316
2022M03;4.039.532
2022M02;3.179.288
2022M01;2.501.443
2021M12;2.947.525
2021M11;3.361.913
2021M10;5.148.820
2021M09;4.703.933
2021M08;5.196.520
2021M07;4.398.992
2021M06;2.216.356
2021M05;1.363.164
2021M04;629.206
2021M03;491.427
2021M02;284.974
2021M01;437.973
2020M12;648.989
2020M11;456.814
2020M10;1.020.773
2020M09;1.138.868
2020M08;2.440.978
2020M07;2.464.779
2020M06;204.272
2020M05;.
2020M04;.
2020M03;1.997.262
2020M02;4.427.344
2020M01;4.133.024
2019M12;4.304.741
2019M11;4.655.021
2019M10;7.587.749
2019M09;8.845.152
2019M08;10.118.366
2019M07;9.873.270
2019M06;8.833.893
2019M05;7.919.204
2019M04;7.146.033
2019M03;5.649.577
2019M02;4.380.504
2019M01;4.195.641
2018M12;4.354.798
2018M11;4.536.873
2018M10;7.649.860
2018M09;8.932.308
2018M08;10.175.761
2018M07;10.020.246
2018M06;8.554.306
2018M05;8.086.048
2018M04;6.780.378
2018M03;5.393.186
2018M02;4.218.047
2018M01;4.106.601
2017M12;3.982.530
2017M11;4.392.575
2017M10;7.269.931
2017M09;8.877.270
2017M08;10.397.745
2017M07;10.493.438
2017M06;8.431.975
2017M05;8.002.648
2017M04;7.081.594
2017M03;4.913.943
2017M02;4.119.137
2017M01;3.905.736
2016M12;3.990.446
2016M11;4.098.262
2016M10;7.137.723
2016M09;7.932.607
2016M08;10.027.471
2016M07;9.545.792
2016M06;7.552.758
2016M05;7.111.154
2016M04;6.086.327
2016M03;4.627.206
2016M02;3.678.726
2016M01;3.526.537
2015M12;3.512.914
2015M11;3.754.802
2015M10;6.432.341
