Comunidad autónoma de destino;Periodo;Total
Total nacional;2024M12;5.265.945
Total nacional;2024M11;5.665.204
Total nacional;2024M10;8.965.310
Total nacional;2024M09;9.595.136
Total nacional;2024M08;10.930.750
Total nacional;2024M07;10.851.172
Total nacional;2024M06;9.313.450
Total nacional;2024M05;9.256.446
Total nacional;2024M04;7.831.094
Total nacional;2024M03;6.347.516
Total nacional;2024M02;5.009.311
Total nacional;2024M01;4.768.171
Total nacional;2023M12;5.209.085
Total nacional;2023M11;5.135.498
Total nacional;2023M10;8.187.022
Total nacional;2023M09;8.795.425
Total nacional;2023M08;10.186.163
Total nacional;2023M07;10.116.916
Total nacional;2023M06;8.307.460
Total nacional;2023M05;8.300.384
Total nacional;2023M04;7.228.094
Total nacional;2023M03;5.247.341
Total nacional;2023M02;4.320.665
Total nacional;2023M01;4.134.995
Total nacional;2022M12;4.127.293
Total nacional;2022M11;4.334.651
Total nacional;2022M10;7.176.984
Total nacional;2022M09;7.767.211
Total nacional;2022M08;8.848.665
Total nacional;2022M07;9.091.390
Total nacional;2022M06;7.498.156
Total nacional;2022M05;6.988.353
Total nacional;2022M04;6.106.316
Total nacional;2022M03;4.039.532
Total nacional;2022M02;3.179.288
Total nacional;2022M01;2.501.443
Total nacional;2021M12;2.947.525
Total nacional;2021M11;3.361.913
Total nacional;2021M10;5.148.820
Total nacional;2021M09;4.703.933
Total nacional;2021M08;5.196.520
Total nacional;2021M07;4.398.992
Total nacional;2021M06;2.216.356
Total nacional;2021M05;1.363.164
Total nacional;2021M04;629.206
Total nacional;2021M03;491.427
Total nacional;2021M02;284.974
Total nacional;2021M01;437.973
Total nacional;2020M12;648.989
Total nacional;2020M11;456.814
Total nacional;2020M10;1.020.773
Total nacional;2020M09;1.138.868
Total nacional;2020M08;2.440.978
Total nacional;2020M07;2.464.779
Total nacional;2020M06;204.272
Total nacional;2020M05;.
Total nacional;2020M04;.
Total nacional;2020M03;1.997.262
Total nacional;2020M02;4.427.344
Total nacional;2020M01;4.133.024
Total nacional;2019M12;4.304.741
Total nacional;2019M11;4.655.021
Total nacional;2019M10;7.587.749
Total nacional;2019M09;8.845.152
Total nacional;2019M08;10.118.366
Total nacional;2019M07;9.873.270
Total nacional;2019M06;8.833.893
Total nacional;2019M05;7.919.204
Total nacional;2019M04;7.146.033
Total nacional;2019M03;5.649.577
Total nacional;2019M02;4.380.504
Total nacional;2019M01;4.195.641
Total nacional;2018M12;4.354.798
Total nacional;2018M11;4.536.873
Total nacional;2018M10;7.649.860
Total nacional;2018M09;8.932.308
Total nacional;2018M08;10.175.761
Total nacional;2018M07;10.020.246
Total nacional;2018M06;8.554.306
Total nacional;2018M05;8.086.048
Total nacional;2018M04;6.780.378
Total nacional;2018M03;5.393.186
Total nacional;2018M02;4.218.047
Total nacional;2018M01;4.106.601
Total nacional;2017M12;3.982.530
Total nacional;2017M11;4.392.575
Total nacional;2017M10;7.269.931
Total nacional;2017M09;8.877.270
Total nacional;2017M08;10.397.745
Total nacional;2017M07;10.493.438
Total nacional;2017M06;8.431.975
Total nacional;2017M05;8.002.648
Total nacional;2017M04;7.081.594
Total nacional;2017M03;4.913.943
Total nacional;2017M02;4.119.137
Total nacional;2017M01;3.905.736
Total nacional;2016M12;3.990.446
Total nacional;2016M11;4.098.262
Total nacional;2016M10;7.137.723
Total nacional;2016M09;7.932.607
Total nacional;2016M08;10.027.471
Total nacional;2016M07;9.545.792
Total nacional;2016M06;7.552.758
Total nacional;2016M05;7.111.154
Total nacional;2016M04;6.086.327
Total nacional;2016M03;4.627.206
Total nacional;2016M02;3.678.726
Total nacional;2016M01;3.526.537
Total nacional;2015M12;3.512.914
Total nacional;2015M11;3.754.802
Total nacional;2015M10;6.432.341
01 Andalucía;2024M12;680.492
01 Andalucía;2024M11;777.538
01 Andalucía;2024M10;1.368.923
01 Andalucía;2024M09;1.435.271
01 Andalucía;2024M08;1.602.146
01 Andalucía;2024M07;1.461.773
01 Andalucía;2024M06;1.366.423
01 Andalucía;2024M05;1.348.546
01 Andalucía;2024M04;1.204.044
01 Andalucía;2024M03;960.232
01 Andalucía;2024M02;726.034
01 Andalucía;2024M01;666.363
01 Andalucía;2023M12;624.935
01 Andalucía;2023M11;715.475
01 Andalucía;2023M10;1.237.399
01 Andalucía;2023M09;1.300.924
01 Andalucía;2023M08;1.466.334
01 Andalucía;2023M07;1.344.993
01 Andalucía;2023M06;1.156.269
01 Andalucía;2023M05;1.210.100
01 Andalucía;2023M04;1.152.846
01 Andalucía;2023M03;801.619
01 Andalucía;2023M02;612.045
01 Andalucía;2023M01;567.627
01 Andalucía;2022M12;533.927
01 Andalucía;2022M11;592.129
01 Andalucía;2022M10;1.048.112
01 Andalucía;2022M09;1.101.005
01 Andalucía;2022M08;1.295.900
01 Andalucía;2022M07;1.122.579
01 Andalucía;2022M06;1.009.682
01 Andalucía;2022M05;1.040.000
01 Andalucía;2022M04;908.068
01 Andalucía;2022M03;609.932
01 Andalucía;2022M02;425.087
01 Andalucía;2022M01;323.469
01 Andalucía;2021M12;332.287
01 Andalucía;2021M11;486.298
01 Andalucía;2021M10;813.081
01 Andalucía;2021M09;687.624
01 Andalucía;2021M08;699.075
01 Andalucía;2021M07;555.120
01 Andalucía;2021M06;296.125
01 Andalucía;2021M05;166.171
01 Andalucía;2021M04;83.006
01 Andalucía;2021M03;51.049
01 Andalucía;2021M02;28.715
01 Andalucía;2021M01;49.789
01 Andalucía;2020M12;60.600
01 Andalucía;2020M11;49.175
01 Andalucía;2020M10;143.610
01 Andalucía;2020M09;179.190
